Soit \((E, +, \cdot)\) un \(K\)-espace vectoriel et \(v_1, \dots, v_p\) des vecteurs de \(E\). Qu'appelle-t-on combinaison linéaire de ces vecteurs (Définition) ?;C'est tout vecteur \(x\) tel que : \(\exists(\lambda_1,\dots, \lambda_p)\in K^p, x = \lambda_1.v_1 +\dots+ \lambda_p.v_p = \sum_{i=1}^p \lambda_i.v_i\).
Soit \((E, +, \cdot)\) un \(K\)-espace vectoriel. À quelles conditions un ensemble \(F\) est-il un sous-espace vectoriel de \(E\) (Définition) ?;Si : \(F \subset E\), \(F \neq \emptyset\), et \(\forall(x,y) \in F^2, \forall\lambda \in K, \lambda x + y \in F\).
Soit \(F\) un sous-espace vectoriel de \(E\). Quelles propriétés en découlent (Proposition) ?;\(0_E \in F\) et \(F\) est un \(K\)-espace vectoriel.
Soit \(E\) un \(K\)-ev et \(F\) un sev de \(E\). Que peut-on dire de la stabilité de \(F\) par combinaison linéaire (Proposition) ?;\(F\) est stable par combinaison linéaire d'un nombre quelconque de ses vecteurs : \(\forall n \in \mathbb{N}, \forall v_1,\dots,v_n \in F^n, \forall(\lambda_1,\dots,\lambda_n) \in K^n, \sum_{i=1}^n \lambda_i.v_i \in F\).
Soit \((E, +, \cdot)\) un \(K\)-ev et \(v_1, \dots, v_p\) des vecteurs de \(E\). Comment définit-on \(Vect(v_1, \dots, v_p)\) et quelle est sa nature (Proposition-définition) ?;\(Vect(v_1, \dots, v_p) = \{\sum_{i=1}^p \lambda_i.v_i / (\lambda_i) \in K^p\}\). C'est un sous-espace vectoriel de \(E\), appelé sev engendré par \(v_1, \dots, v_p\).
Soit \(E\) un \(K\)-ev et \(F\) un sev de \(E\). Quand dit-on qu'une famille \((v_1, \dots, v_p)\) de vecteurs de \(E\) est une famille génératrice de \(F\) (Définition) ?;Si \(F = Vect(v_1, \dots, v_p)\).
Soit \(E\) un \(K\)-ev, \(F\) un sev de \(E\), et \(v_1, \dots, v_p\) des vecteurs de \(F\). Que dire de \(Vect(v_1, \dots, v_p)\) par rapport à \(F\) (Proposition) ?;\(Vect(v_1, \dots, v_p) \subset F\).
Soit \(E\) un \(K\)-ev et \(F, G\) des sev de \(E\). Quelle est la nature de \(F \cap G\) (Proposition) ?;\(F \cap G\) est un sous-espace vectoriel de \(E\).
Soit \(E\) un \(K\)-ev et \(F_1, \dots, F_n\) des sev de \(E\). Quelle est la nature de \(\bigcap_{i=1}^n F_i\) (Proposition) ?;\(\bigcap_{i=1}^n F_i\) est un sous-espace vectoriel de \(E\).
Soient \(F\) et \(G\) deux sev d'un \(K\)-ev \(E\). Comment définit-on la somme \(F + G\) et quelle est sa nature (Proposition-définition) ?;\(F + G = \{x + y / x \in F \text{ et } y \in G\}\). C'est un sous-espace vectoriel de \(E\).
Soient \(F\) et \(G\) des sev d'un \(K\)-ev \(E\). Quand dit-on que la somme \(F + G\) est directe (Définition) ?;Si la décomposition de tout vecteur de \(F + G\) est unique : \(\forall u \in F + G, \exists! (x,y) \in F \times G, u = x + y\).
Soient \(F\) et \(G\) des sev d'un \(K\)-ev \(E\). À quelle condition \(F\) et \(G\) sont-ils en somme directe (Proposition) ?;Si et seulement si \(F \cap G = \{0_E\}\).
Soient \(F\) et \(G\) des sev d'un \(K\)-ev \(E\). Quand dit-on que \(F\) et \(G\) sont supplémentaires dans \(E\) (Définition) ?;Si \(F \oplus G = E\), c'est-à-dire : \(F + G = E\) et \(F \cap G = \{0_E\}\).
Soient \(F\) et \(G\) des sev d'un \(K\)-ev \(E\). À quelle condition \(F\) et \(G\) sont-ils supplémentaires dans \(E\) (Théorème) ?;Si et seulement si tout vecteur de \(E\) s'écrit de façon unique comme somme d'un vecteur de \(F\) et d'un vecteur de \(G\) : \(\forall x \in E, \exists! (y,z) \in F \times G, x = y + z\).
