Quelle est la définition d'une famille génératrice \( (x_1, \dots, x_n) \) d'un espace vectoriel \( E \) ?;C'est une famille telle que \( E = \text{Vect}(x_1, \dots, x_n) \), c'est-à-dire : \( \forall x \in E, \exists (\lambda_1, \dots, \lambda_n) \in \mathbb{K}^n, x = \sum_{k=1}^n \lambda_k x_k \).
Quelle est la définition d'une famille libre \( (x_1, \dots, x_n) \) de \( E \) ?;Une famille est libre si la seule combinaison linéaire valant \( 0_E \) est celle où tous les coefficients sont nuls : \( \forall (\lambda_1, \dots, \lambda_n) \in \mathbb{K}^n, \sum_{i=1}^n \lambda_i x_i = 0 \implies \lambda_1 = \dots = \lambda_n = 0 \).
Quelle est la définition d'une famille liée \( (x_1, \dots, x_n) \) de \( E \) ?;Une famille est liée si elle n'est pas libre : il existe une combinaison linéaire non triviale donnant \( 0_E \), soit \( \exists (\lambda_1, \dots, \lambda_n) \in \mathbb{K}^n, \sum_{i=1}^n \lambda_i x_i = 0 \) avec \( (\lambda_1, \dots, \lambda_n) \neq (0, \dots, 0) \).
Que dit la proposition sur l'inclusion de familles libres et liées ?;Toute famille contenant une famille liée est également liée. Toute famille contenue dans une famille libre est également libre.
À quelle condition une famille libre \( (x_1, \dots, x_n) \) complétée par un vecteur \( x_{n+1} \) devient-elle liée ? (Proposition);La famille \( (x_1, \dots, x_n, x_{n+1}) \) est liée si et seulement si \( x_{n+1} \) est combinaison linéaire de \( x_1, \dots, x_n \), c'est-à-dire \( x_{n+1} \in \text{Vect}(x_1, \dots, x_n) \).
Que dit le corollaire sur l'ajout d'un vecteur à une famille libre \( (x_1, \dots, x_n) \) ?;Si \( u \notin \text{Vect}(x_1, \dots, x_n) \), alors la famille \( (x_1, \dots, x_n, u) \) est encore libre.
Si \( (e_1, \dots, e_q) \) est une famille libre, que peut-on dire des sous-espaces \( F = \text{Vect}(e_1, \dots, e_p) \) et \( G = \text{Vect}(e_{p+1}, \dots, e_q) \) ? (Proposition);Les sous-espaces vectoriels \( F \) et \( G \) sont en somme directe.
Que dit la proposition sur les familles de polynômes de degrés distincts ?;Toute famille \( (P_1, \dots, P_n) \) de polynômes non nuls de \( \mathbb{K}[X] \) de degrés deux à deux distincts est libre.
Quelle est la définition d'une base \( (x_1, \dots, x_n) \) d'un espace vectoriel \( E \) ?;On dit que \( (x_1, \dots, x_n) \) est une base de \( E \) si elle est à la fois libre et génératrice de \( E \).
Quel théorème caractérise une base par l'écriture des vecteurs de \( E \) ?;\( (x_1, \dots, x_n) \) est une base de \( E \) si et seulement si tout vecteur de \( E \) s'écrit de façon unique comme combinaison linéaire de \( x_1, \dots, x_n \) : \( \forall x \in E, \exists ! (\lambda_1, \dots, \lambda_n) \in \mathbb{K}^n, x = \sum_{k=1}^n \lambda_k x_k \).
Que sont les coordonnées d'un vecteur \( x \) dans une base \( (x_1, \dots, x_n) \) ? (Définition);Ce sont les scalaires uniques \( (\lambda_1, \dots, \lambda_n) \) de la combinaison linéaire \( x = \sum_{k=1}^n \lambda_k x_k \).
Quand dit-on qu'un espace vectoriel \( E \) est de dimension finie ? (Définition);On dit que \( E \) est de dimension finie s'il possède une famille génératrice finie.
Que dit le lemme sur le complètement d'une sous-famille libre au sein d'une famille génératrice ?;Si une famille génératrice contient une sous-famille libre, on peut compléter cette dernière en une base de \( E \) à l'aide de vecteurs bien choisis parmi le reste de la famille génératrice.
Que dit le théorème de la base extraite ?;De n'importe quelle famille génératrice finie d'un espace vectoriel \( E \) de dimension finie (non réduit à \( \{0_E\} \)), on peut extraire une base de \( E \).
Que dit le théorème de la base incomplète ?;Dans un espace vectoriel \( E \) de dimension finie, on peut compléter toute famille libre en une base de \( E \), à l'aide de certains vecteurs bien choisis parmi une famille génératrice finie.
