Qu'appelle-t-on polynôme à coefficients dans \( \mathbb{K} \) ?;On appelle polynôme à coefficients dans \( \mathbb{K} \) toute suite \( P = (a_0, a_1, \dots, a_n, 0, \dots) \) d'éléments de \( \mathbb{K} \) nulle à partir d'un certain rang, notée \( P = \sum_{k=0}^{n} a_k X^k \). \( X \) est l'indéterminée et les \( a_k \) sont les coefficients.
À quelle condition deux polynômes sont-ils égaux ?;Deux polynômes sont égaux si et seulement si tous leurs coefficients respectifs sont égaux.
Qu'est-ce que le degré d'un polynôme \( P \neq 0 \) et un polynôme unitaire ?;Le degré est le plus grand entier \( p \) tel que le coefficient \( a_p \neq 0 \) (noté \( \text{deg}(P) \)). Le polynôme est unitaire (ou normalisé) si son coefficient dominant \( a_p \) vaut \( 1 \). Par convention, \( \text{deg}(0) = -\infty \).
Comment caractérise-t-on le degré d'un polynôme constant, non constant, ou constant non nul ?;Pour \( P \) constant : \( \text{deg}(P) \le 0 \). Pour \( P \) non constant : \( \text{deg}(P) \ge 1 \). Pour \( P \) constant non nul : \( \text{deg}(P) = 0 \).
Comment note-t-on l'ensemble des polynômes et l'ensemble des polynômes de degré inférieur ou égal à \( n \) ?;\( \mathbb{K}[X] \) est l'ensemble de tous les polynômes, et \( \mathbb{K}_n[X] = \left\{ \sum_{k=0}^{n} a_k X^k / (a_0, \dots, a_n) \in \mathbb{K}^{n+1} \right\} \).
Quelle est la structure de l'ensemble \( (\mathbb{K}[X], +, \cdot) \) ?;C'est un \( \mathbb{K} \)-espace vectoriel.
Que valent le degré de la somme \( P + Q \) et du produit par un scalaire \( \lambda P \) ?;\( \text{deg}(P + Q) \le \max(\text{deg}(P), \text{deg}(Q)) \) (avec égalité si \( \text{deg}(P) \neq \text{deg}(Q) \)). Pour \( \lambda \neq 0 \), \( \text{deg}(\lambda P) = \text{deg}(P) \).
Quelle est la structure de l'ensemble \( \mathbb{K}_n[X] \) ?;C'est un sous-espace vectoriel de \( \mathbb{K}[X] \), avec \( \mathbb{K}_n[X] = \text{Vect}(1, X, X^2, \dots, X^n) \).
Comment définit-on le produit de deux polynômes \( P = \sum_{k=0}^{p} a_k X^k \) et \( Q = \sum_{k=0}^{q} b_k X^k \) ?;\( P \times Q = \sum_{k=0}^{p+q} c_k X^k \) où \( c_k = \sum_{i=0}^{k} a_i b_{k-i} \).
Quelles sont les propriétés algébriques du produit de polynômes ?;Il est commutatif (\( PQ = QP \)), associatif, distributif sur l'addition. On a \( X^p X^q = X^{p+q} \), \( P \times 0 = 0 \), \( P \times 1 = P \) et \( \lambda \cdot (PQ) = (\lambda P)Q = P(\lambda Q) \).
Que vaut le degré du produit \( PQ \) ?;\( \text{deg}(PQ) = \text{deg}(P) + \text{deg}(Q) \).
Quelle est la règle d'intégrité dans \( \mathbb{K}[X] \) ?;\( PQ = 0 \iff P = 0 \) ou \( Q = 0 \). Conséquence : si \( R \neq 0 \), \( PR = QR \iff P = Q \).
Comment définit-on la composition \( P \circ Q \) (ou \( P(Q) \)) ?;Pour \( P = \sum_{k=0}^{n} a_k X^k \), on pose \( P(Q) = \sum_{k=0}^{n} a_k Q^k \).
Que vaut le degré de la composition \( P \circ Q \) si \( Q \neq 0 \) ?;\( \text{deg}(P \circ Q) = \text{deg}(P) \times \text{deg}(Q) \).
Qu'est-ce qu'un polynôme pair et un polynôme impair ?;Un polynôme est pair si \( P(-X) = P(X) \) (soit \( \forall i, a_{2i+1} = 0 \)). Il est impair si \( P(-X) = -P(X) \) (soit \( \forall i, a_{2i} = 0 \)).
Que signifie que \( P \) divise \( Q \) (noté \( P|Q \)) ?;Cela signifie qu'il existe \( R \in \mathbb{K}[X] \) tel que \( Q = P \times R \).
Quelles sont les propriétés de base de la divisibilité de polynômes ?;Tout polynôme divise \( 0 \) et lui-même. Si \( P|Q \) et \( Q \neq 0 \) alors \( \text{deg}(P) \le \text{deg}(Q) \). La relation est transitive : \( P|Q \) et \( Q|R \implies P|R \).
Qu'énonce le théorème de la division euclidienne dans \( \mathbb{K}[X] \) ?;Pour \( A, B \in \mathbb{K}[X] \) avec \( B \neq 0 \), il existe un unique couple \( (Q, R) \) tel que \( A = BQ + R \) et \( \text{deg}(R) < \text{deg}(B) \).
Comment caractériser la divisibilité de \( A \) par \( B \) via la division euclidienne ?;\( B \) divise \( A \iff \) le reste de la division euclidienne de \( A \) par \( B \) est nul.
